aootype,word,subsidiary_count,charity_count,aookey,income,expend
A,advance,3221,2753,4764.0,34325454.99726028,17256823.24931507
A,advancement,1639,1367,2030.0,278064176.8794521,250344060.89315072
A,apply,119,117,165.0,100000.0,88133.0
A,assist,150,129,182.0,22063721.238356166,21326494.345205482
A,benefit,720,553,912.0,14545072.40821918,15427793.315068493
A,charitable,1492,671,847.0,316904307.19452053,290370377.4712329
A,charitys,372,365,657.0,5501641.104109589,4750731.860273973
A,educate,122,113,204.0,81062.30136986301,204025.4904109589
A,enhance,101,101,307.0,,
A,general,337,278,433.0,121602262.85753426,122427776.54794522
A,income,259,126,233.0,261890991.61369863,272343345.09589046
A,main,249,249,728.0,,
A,object,356,326,548.0,151933.79452054793,18171.86301369863
A,objects,1642,1246,1859.0,146498647.4630137,129571497.95616439
A,pay,169,155,180.0,290909.0,206240.0
A,prevention,130,107,215.0,24851.246575342466,21775.12328767123
A,promote,2033,1682,2743.0,96750205.86849317,87240359.61917807
A,promotion,407,343,548.0,13982444.646575343,15506052.167123288
A,provide,481,376,681.0,1328475857.8794522,1324709171.032877
A,provision,292,155,275.0,402148225.67945206,382371407.96438354
A,public,333,225,342.0,594305.0,548480.0
A,relief,1701,1437,2243.0,403692167.3945205,415324540.3808219
A,relieve,1059,965,1709.0,80455191.1041096,81765479.00273971
A,trustees,617,324,444.0,5293089.0,439793.0
B,advance,9361,7600,757642.0,26642211.049315076,25565635.583561648
B,advancement,2001,1687,156078.0,292232647.8054794,256895918.29589042
B,apply,234,223,22688.0,307863.2191780822,289836.90684931504
B,assist,276,254,23990.0,11863347.169863014,11208962.109589042
B,ato,166,166,15659.0,61962.0,8933.0
B,benefit,2564,1791,184901.0,140893959.07671234,135811197.08767122
B,charitable,2091,758,75871.0,135047596.7452055,128718318.03287672
B,charitys,576,564,50934.0,37747378.660273984,31624240.739726026
B,distribution,121,115,13168.0,26536.252054794524,41813.86849315069
B,educate,292,284,29420.0,19834.0,20295.0
B,education,237,180,18621.0,23013097.873972606,21393862.432876714
B,enable,1562,1559,183420.0,4021856.4273972604,3586349.479452055
B,enhance,2534,2533,280672.0,882183.8164383562,840596.6739726027
B,establish,114,109,11734.0,7439542.978082192,7310103.567123287
B,general,1177,714,78436.0,63943157.80273973,52867539.94794521
B,help,416,397,40589.0,921690.2136986301,154072.9890410959
B,improve,739,736,86227.0,28312.0,2189.0
B,income,883,738,79215.0,42382493.060273975,50842062.81643836
B,instruction,375,373,40141.0,20776.0,16774.0
B,main,1490,1490,177552.0,66593.17534246575,66990.86301369863
B,maintenance,292,226,23521.0,23278586.254794523,20716641.013698634
B,object,882,747,72409.0,33365729.739726026,33105879.742465757
B,objects,2479,1924,189216.0,1862951.0438356164,847297.7643835616
B,pay,124,109,11420.0,321700.77808219177,150126.6493150685
B,payment,148,103,10702.0,9066008.709589042,8208850.852054795
B,per,228,224,24219.0,17199.74794520548,16622.33424657534
B,poor,131,111,12316.0,94953.91232876711,70176.90410958903
B,preservation,151,141,13609.0,153898.0,30009.0
B,preserve,251,245,24578.0,2729962.0,2335330.0
B,prevention,122,121,10153.0,96604.24657534246,71063.12328767123
B,promote,6169,5283,521920.0,21927634.66575342,20189909.56164384
B,promoting,324,318,30651.0,10473003.608219178,11039190.879452055
B,promotion,916,825,82010.0,8957078.120547945,5294278.295890411
B,provide,2078,1783,183471.0,174076088.34794518,155175142.38356164
B,providing,161,127,12845.0,29481601.82191781,43250696.79178083
B,provision,1413,862,86515.0,242510323.90958902,226164799.5726027
B,public,396,287,28418.0,43687.583561643834,28956.482191780822
B,purchase,156,141,15790.0,3579460.210958904,4531417.654794521
B,purpose,191,167,16594.0,12395897.86849315,11478990.120547947
B,purposes,977,888,89986.0,57154910.613698624,53306909.75342466
B,recreation,169,167,17271.0,,
B,relief,3592,3194,316348.0,24057466.709589038,24526555.86849315
B,relieve,2781,2533,246153.0,38097971.523287684,33975894.706849314
B,relieving,191,150,14714.0,6597699.339726028,6206471.616438356
B,safeguard,223,223,23531.0,,
B,see,445,387,39184.0,4594207.827397261,3874334.1726027397
B,support,247,213,22169.0,158292.01917808218,287209.87671232875
B,towards,236,190,19988.0,10011745.071232878,9079881.20547945
B,townswomens,170,170,17142.0,,
B,trustees,488,309,30680.0,63345.4,84775.74520547944
B,unit,109,108,10344.0,27571.49315068493,23428.83561643836
B,work,119,103,9296.0,,
B,works,111,111,12984.0,,
D,advance,1028,852,96708.0,26106527.452054795,25220045.832876712
D,advancement,609,492,53766.0,24197847.504109588,25485013.830136985
D,benefit,141,114,13494.0,28178264.810958903,22829555.421917804
D,charitys,166,161,16202.0,1630676.4219178082,820317.0438356164
D,object,144,135,15869.0,831911.9287671233,3090259.084931507
D,objects,745,576,65537.0,130746310.4082192,127930731.05753425
D,prevention,143,132,13893.0,49898.24657534246,31425.12328767123
D,promote,551,428,52038.0,66732672.63561643,56787331.09589041
D,provide,170,107,13205.0,1290842370.7780824,1281405402.3260276
D,public,175,134,16144.0,54954.79452054795,48416.87671232877
D,relief,851,689,85637.0,211497782.18356162,233166230.31232876
D,relieve,446,396,47725.0,19720520.35342466,9837484.1369863
