aootype,aookey,aooname,expend,charity_count,subsidiary_count,income
A,1.0,THROUGHOUT ENGLAND AND WALES,5747521536.887669,11876,14934,5903583337.279454
A,2.0,THROUGHOUT ENGLAND,631346189.4547944,1893,2321,639607814.958904
A,3.0,THROUGHOUT WALES,8130004.10410959,1938,2194,7665385.2876712335
A,4.0,THROUGHOUT LONDON,256357554.4520548,1918,2264,275122743.6547945
B,1.0,BRACKNELL FOREST,46221976.84109589,278,408,51873469.92054795
B,2.0,WEST BERKSHIRE,37191002.854794525,380,476,40012048.68493151
B,3.0,READING,28476998.115068495,360,465,30491423.761643834
B,4.0,SLOUGH,2556447.0356164384,278,332,2689224.6383561646
B,5.0,WINDSOR AND MAIDENHEAD,2721395.1369863013,315,395,2784320.805479452
B,6.0,WOKINGHAM,5937884.882191781,307,396,6585857.909589041
B,7.0,BARKING AND DAGENHAM,22883871.057534244,160,195,24043552.94520548
B,8.0,BARNET,20668307.158904113,286,314,23157567.243835617
B,9.0,BEXLEY,44646798.690410964,128,229,50404664.008219175
B,10.0,BRENT,20951675.504109588,198,364,22257347.934246574
B,11.0,BROMLEY,14629095.567123288,235,330,11846211.038356166
B,12.0,CAMDEN,49919977.70136986,268,371,55372587.32602739
B,13.0,CITY OF LONDON,42299984.58630137,227,592,35734977.65753424
B,14.0,CITY OF WESTMINSTER,138091833.54520547,273,480,146298171.62465754
B,15.0,CROYDON,1794447.5397260278,269,295,1421441.8630136987
B,16.0,EALING,19277609.073972605,196,234,21679019.764383562
B,17.0,ENFIELD,129339.6712328767,184,197,136411.24383561645
B,18.0,GREENWICH,14666786.810958903,225,301,12027885.928767124
B,19.0,HACKNEY,3852945.476712329,319,380,4471531.128767123
B,20.0,HAMMERSMITH AND FULHAM,34889096.05479452,161,169,39478473.82739726
B,21.0,HARINGEY,30711150.852054793,269,316,33135247.298630137
B,22.0,HARROW,18192867.69589041,162,174,19863285.454794522
B,23.0,HAVERING,1825306.7287671233,135,174,1447874.7589041097
B,24.0,HILLINGDON,14683979.397260275,160,177,16458215.698630137
