aootype,word,aookey,aooname,subsidiary_count,charity_count,income,expend
A,advance,1.0,THROUGHOUT ENGLAND AND WALES,3856,3298,236140964.2712329,208924021.9972603
A,advancement,1.0,THROUGHOUT ENGLAND AND WALES,3042,2483,1199006180.8904114,1116526364.4520555
A,apply,1.0,THROUGHOUT ENGLAND AND WALES,748,645,859243209.8575344,840229974.4630138
A,assist,1.0,THROUGHOUT ENGLAND AND WALES,845,730,1227456624.3753426,1167457465.717808
A,benefit,1.0,THROUGHOUT ENGLAND AND WALES,4273,3352,1875905061.7342465,1816947180.320548
A,charitable,1.0,THROUGHOUT ENGLAND AND WALES,6134,4125,621950110.2493149,581519101.290411
A,charitys,1.0,THROUGHOUT ENGLAND AND WALES,241,234,4750244.515068494,3741280.871232877
A,educate,1.0,THROUGHOUT ENGLAND AND WALES,309,295,298669118.04383564,294200455.04383564
A,enhance,1.0,THROUGHOUT ENGLAND AND WALES,69,67,,
A,general,1.0,THROUGHOUT ENGLAND AND WALES,1318,1041,1220599385.9808218,1210848531.69863
A,income,1.0,THROUGHOUT ENGLAND AND WALES,1646,929,1404293146.0328763,1371330187.830137
A,main,1.0,THROUGHOUT ENGLAND AND WALES,61,33,26791805.10958904,28067018.824657537
A,object,1.0,THROUGHOUT ENGLAND AND WALES,766,703,703727271.1479452,687264102.6794521
A,objects,1.0,THROUGHOUT ENGLAND AND WALES,2734,2078,993230403.7589042,947137260.3178083
A,pay,1.0,THROUGHOUT ENGLAND AND WALES,355,302,1181550442.7178085,1173924584.4849315
A,prevention,1.0,THROUGHOUT ENGLAND AND WALES,633,545,291989598.91780823,286747729.30136985
A,promote,1.0,THROUGHOUT ENGLAND AND WALES,3072,2530,355639088.9452054,311146658.56438357
A,promotion,1.0,THROUGHOUT ENGLAND AND WALES,1431,1195,228791069.2547945,230614737.479452
A,provide,1.0,THROUGHOUT ENGLAND AND WALES,1395,1087,2901283643.9452066,2841604618.591781
A,provision,1.0,THROUGHOUT ENGLAND AND WALES,3526,2551,1662107610.5369856,1685883142.915069
A,public,1.0,THROUGHOUT ENGLAND AND WALES,5896,4051,596739571.4657534,536089310.87123287
A,relief,1.0,THROUGHOUT ENGLAND AND WALES,3541,2841,1176700177.9616437,1159833365.2712333
A,relieve,1.0,THROUGHOUT ENGLAND AND WALES,1760,1526,582542609.0520549,579869506.8356165
A,trustees,1.0,THROUGHOUT ENGLAND AND WALES,4006,3079,1303750206.6575341,1273306535.6219177
A,advance,2.0,THROUGHOUT ENGLAND,906,748,10192956.96438356,10080786.161643835
A,advancement,2.0,THROUGHOUT ENGLAND,433,344,28886610.383561645,16452149.339726029
A,apply,2.0,THROUGHOUT ENGLAND,49,39,403696597.8136986,417054774.4931507
A,assist,2.0,THROUGHOUT ENGLAND,135,116,60224813.85205479,54941124.032876715
A,benefit,2.0,THROUGHOUT ENGLAND,1133,875,121962956.26027398,116261610.06849314
A,charitable,2.0,THROUGHOUT ENGLAND,672,456,60484327.56438357,46374266.268493146
A,charitys,2.0,THROUGHOUT ENGLAND,107,104,17919.0,22368.0
A,educate,2.0,THROUGHOUT ENGLAND,58,56,157779.5397260274,278213.6767123288
A,enhance,2.0,THROUGHOUT ENGLAND,11,11,10818.936986301369,10748.416438356164
A,general,2.0,THROUGHOUT ENGLAND,167,145,76276300.8,71035232.0219178
A,income,2.0,THROUGHOUT ENGLAND,152,91,432748760.969863,443001624.4958904
A,main,2.0,THROUGHOUT ENGLAND,3,3,,
A,object,2.0,THROUGHOUT ENGLAND,246,218,24277839.31780822,21810265.21917808
A,objects,2.0,THROUGHOUT ENGLAND,643,470,43525184.15068493,38712658.05753424
A,pay,2.0,THROUGHOUT ENGLAND,21,16,8159583.561643836,6536043.835616439
A,prevention,2.0,THROUGHOUT ENGLAND,151,133,57150800.923287675,40947198.40547945
A,promote,2.0,THROUGHOUT ENGLAND,555,455,19455266.482191782,18059936.890410956
A,promotion,2.0,THROUGHOUT ENGLAND,227,203,9134495.339726027,6963905.098630138
A,provide,2.0,THROUGHOUT ENGLAND,290,236,122904962.66575342,108082410.4739726
A,provision,2.0,THROUGHOUT ENGLAND,838,570,213149115.81369862,201275834.98082188
A,public,2.0,THROUGHOUT ENGLAND,1376,885,10244724.498630136,7950890.4821917815
A,relief,2.0,THROUGHOUT ENGLAND,563,436,101990650.79452054,86054568.53424658
A,relieve,2.0,THROUGHOUT ENGLAND,340,308,35931229.49315069,33313162.42739726
A,trustees,2.0,THROUGHOUT ENGLAND,610,479,44948260.92054795,43549719.12602739
A,advance,3.0,THROUGHOUT WALES,615,589,8396.0,600.0
A,advancement,3.0,THROUGHOUT WALES,134,124,,
A,apply,3.0,THROUGHOUT WALES,26,25,,
A,assist,3.0,THROUGHOUT WALES,82,80,,
A,benefit,3.0,THROUGHOUT WALES,550,393,780033.0,949999.0
A,charitable,3.0,THROUGHOUT WALES,233,201,771637.0,949399.0
A,charitys,3.0,THROUGHOUT WALES,7,7,771637.0,949399.0
A,educate,3.0,THROUGHOUT WALES,41,41,,
A,enhance,3.0,THROUGHOUT WALES,85,85,,
A,general,3.0,THROUGHOUT WALES,222,140,0.0,0.0
A,income,3.0,THROUGHOUT WALES,135,90,55020.84383561644,55408.778082191784
A,main,3.0,THROUGHOUT WALES,241,241,,
A,object,3.0,THROUGHOUT WALES,78,75,,
A,objects,3.0,THROUGHOUT WALES,111,85,771637.0,949399.0
A,pay,3.0,THROUGHOUT WALES,5,5,,
A,prevention,3.0,THROUGHOUT WALES,35,31,,
A,promote,3.0,THROUGHOUT WALES,305,277,780033.0,949999.0
A,promotion,3.0,THROUGHOUT WALES,70,59,6443893.063013699,6864683.627397261
A,provide,3.0,THROUGHOUT WALES,242,228,0.0,0.0
A,provision,3.0,THROUGHOUT WALES,316,244,7595555.063013699,8064421.627397261
A,public,3.0,THROUGHOUT WALES,594,489,7215530.063013699,7814082.627397261
A,relief,3.0,THROUGHOUT WALES,226,198,6830331.443835617,7124596.326027398
A,relieve,3.0,THROUGHOUT WALES,155,147,771637.0,949399.0
A,trustees,3.0,THROUGHOUT WALES,113,94,0.0,0.0
A,advance,4.0,THROUGHOUT LONDON,846,702,6490212.873972604,5373579.290410958
A,advancement,4.0,THROUGHOUT LONDON,420,333,1088636.2767123287,1013130.9917808219
A,apply,4.0,THROUGHOUT LONDON,63,54,5798.0,5533.0
A,assist,4.0,THROUGHOUT LONDON,171,151,,
A,benefit,4.0,THROUGHOUT LONDON,825,627,57824549.23835616,49453517.74794522
A,charitable,4.0,THROUGHOUT LONDON,733,470,91634632.29863013,81752547.86849315
A,charitys,4.0,THROUGHOUT LONDON,66,66,319966.5890410959,272974.9890410959
A,educate,4.0,THROUGHOUT LONDON,43,40,20673.523287671233,21609.909589041097
A,enhance,4.0,THROUGHOUT LONDON,23,23,,
A,general,4.0,THROUGHOUT LONDON,125,114,20000143.339726027,18000523.599999998
A,income,4.0,THROUGHOUT LONDON,120,86,4951244.950684932,5380211.030136986
A,object,4.0,THROUGHOUT LONDON,218,194,,
A,objects,4.0,THROUGHOUT LONDON,417,316,1166596.5506849317,887099.2000000001
A,pay,4.0,THROUGHOUT LONDON,23,20,,
A,prevention,4.0,THROUGHOUT LONDON,124,79,291789.35890410957,238742.02191780822
A,promote,4.0,THROUGHOUT LONDON,470,384,1899194.290410959,1748506.3808219177
A,promotion,4.0,THROUGHOUT LONDON,181,163,256748.5890410959,205678.9890410959
A,provide,4.0,THROUGHOUT LONDON,314,254,5957703.682191781,5178098.4547945205
A,provision,4.0,THROUGHOUT LONDON,932,601,26651010.408219177,26119534.783561647
A,public,4.0,THROUGHOUT LONDON,876,637,5922606.161643837,5324690.312328766
A,relief,4.0,THROUGHOUT LONDON,638,482,139860239.6219178,138560069.57534248
